Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length,Corpus Name
0.762997974,0.634920635,0.088888889,0.660194175,0.25,0.40625,0.10989011,0.654545455,0.375,0,0,0.258064516,0.441176471,0.813559322,0.691176471,0.524390244,0.406720742,0.133333333,0.24,0.526827059,0.254257566,0.285714286,0.58974359,0.665551839,0,0.232915479,Plautus Amphitruo'
0.799459824,0.528218695,0,0.689320388,0.575,0.609375,0.384615385,0.618181818,0.625,0,0,0.35483871,0.588235294,0.718644068,1,0.487804878,0.426419467,0.4,0.32,0.418361184,0.058457476,0.428571429,0.923076923,0.010033445,0.23255814,0.149633019,Plautus Asinaria'
0.924375422,0.618165785,0,0.436893204,0.3,0.28125,0.032967033,0.345454545,0.75,0,0,0.080645161,0.549019608,0.73559322,0.8125,0.532520325,0.380069525,0.333333333,0.36,0.420928126,0.23913471,0.185714286,0.564102564,0.545150502,0.209302326,0.153803617,Plautus Aulularia
0.754895341,0.723985891,0.044444444,0.466019417,0.1625,0.265625,0.131868132,0.454545455,0.625,0,0,0.419354839,0.303921569,0.837288136,0.606617647,0.504065041,0.523754345,0.288888889,0.52,0.33425609,0.174691525,0.157142857,1,0.18729097,0.534883721,0.114139765,Plautus Bacchides
0.86563133,0.759259259,0,0.621359223,0.525,0.59375,0.241758242,0.345454545,0.3125,0,0.666666667,0.193548387,0.352941176,0.705084746,0.783088235,0.87804878,0.243337196,0.377777778,0.56,0.652456211,0.175262871,0.4,0.717948718,1,0,0.283473594,Plautus Captivi
0.866981769,0.662257496,0.2,0.631067961,0.375,0.15625,0.021978022,0.309090909,0.1875,0,0,0.580645161,0.843137255,0.698305085,0.680147059,0.398373984,0.513325608,0.444444444,0.92,0.11571371,0.101926854,0.071428571,0.58974359,0.52173913,0.209302326,0.07903229,Plautus Casina
0.84199865,1,1,0.844660194,0.3125,0.796875,0.076923077,0.581818182,0,0,0,0.016129032,0.31372549,0.562711864,0.75,0.508130081,0.23174971,0.355555556,0.32,0.335766056,0.123107726,0.2,0.333333333,0.638795987,0.186046512,0.153903002,Plautus Cistellaria
1,0.591710758,0,0.524271845,0.7625,0.28125,0.285714286,0.309090909,0.625,0,0,0.838709677,0.509803922,0.640677966,0.783088235,0.597560976,0.545770568,0.622222222,0.84,0.295852627,0.038613213,0.257142857,0.282051282,0.25083612,0.23255814,0.050085193,Plautus Curculio
0.828494261,0.772486772,0,0.572815534,0.3,0.671875,0.373626374,0.181818182,1,0,0,0.419354839,0.392156863,0.596610169,0.621323529,0.75203252,0.601390498,0.155555556,0.4,0.320817395,0.208127569,0.2,0.512820513,0.053511706,0,0.064880734,Plautus Epidicus
0.933153275,0.643738977,0.244444444,0.533980583,0.1125,0.328125,0.175824176,0.563636364,0.25,0,0,0.467741935,0.568627451,0.674576271,0.588235294,0.524390244,0.607184241,1,0.72,0.330481176,0.037198818,0.142857143,0.256410256,0.321070234,0.209302326,0.096108838,Plautus Menaechmi
0.759621877,0.644620811,0.155555556,0.572815534,0.3,0.546875,0.010989011,0.581818182,0.625,0,0,0.451612903,1,0.718644068,0.753676471,0.296747967,0.572421784,0.377777778,0.28,0.215421784,0.013786794,0.271428571,0.230769231,0.080267559,0.046511628,0.057062553,Plautus Mercator
0.762997974,0.776895944,0.155555556,0.844660194,0.45,0.546875,0.175824176,0.690909091,0.75,0,0,0.661290323,0.558823529,0.610169492,0.834558824,0.682926829,0.389339513,0.333333333,0.48,0.28925911,0.111512094,0.314285714,0.179487179,0.74916388,0.23255814,0.167415244,Plautus Miles Gloriosus
0.796083727,0.624338624,0.044444444,0.582524272,1,0.609375,0,0.236363636,0.5625,0,0,0.209677419,0.568627451,0.583050847,0.584558824,0.349593496,0.653534183,0.488888889,0.16,0,0.094961148,0.2,0.205128205,0,0.209302326,0.022961969,Plautus Mostellaria
0.958811614,0.681657848,0.066666667,0.194174757,0.125,0.203125,0.186813187,0.309090909,0.1875,0,0,0.387096774,0.725490196,0.813559322,0.731617647,0.394308943,0.561993048,0.066666667,0.68,0.130561707,0,0,0.205128205,0.585284281,0.209302326,0.012228783,Plautus Persa
0.740715733,0.679012346,0.044444444,0.660194175,0.1875,0.328125,0.186813187,0.272727273,0.8125,0,0,0.306451613,0.303921569,0.579661017,0.724264706,0.536585366,0.402085747,0.355555556,0.6,0.173746728,0.052125017,0.171428571,0.153846154,0.301003344,0.348837209,0.092065168,Plautus Poenulus
0.87778528,0.69047619,0.044444444,0.310679612,0.275,0.703125,0.197802198,0.236363636,0.6875,0,0,0.435483871,0.450980392,0.827118644,0.834558824,0.369918699,0.548088065,0.422222222,1,0.233893698,0.053400821,0.1,0.205128205,0.494983278,0.139534884,0.126758193,Plautus Pseudolus
0.765698852,0.668430335,0.044444444,0.417475728,0.5875,0.296875,0.043956044,0.236363636,0.4375,0,0,0.790322581,0.303921569,0.66440678,0.830882353,0.495934959,0.476245655,0.644444444,0.2,0.255687538,0.219241693,0.2,0.487179487,0.204013378,0.302325581,0.113949211,Plautus Rudens
0.770425388,0.582010582,0,0.446601942,0,0.65625,0.230769231,0.363636364,0.4375,0,1,0.370967742,0.421568627,0.627118644,0.584558824,0.609756098,0.358053302,0.355555556,0.28,0.191211999,0.129361304,0.242857143,0,0.257525084,0.372093023,0.140851116,Plautus Stichus
0.730587441,0.764550265,0.133333333,0.514563107,0.3875,0.703125,0.318681319,0.272727273,0.5,0,0,0.338709677,0.5,0.623728814,0.970588235,0.650406504,0.375434531,0.377777778,0.92,0.582796457,0.038241811,0.071428571,0.205128205,0.628762542,0.302325581,0.236741856,Plautus Trinummus
0.753544902,0.587301587,0,0.621359223,0.725,0.6875,0.065934066,0.6,0.8125,0,0,1,0.254901961,0.569491525,0.636029412,0.808943089,0.505214368,0.222222222,0.32,0.531809946,0.044585774,0.128571429,0.641025641,0.324414716,0.11627907,0.15123992,Plautus Truculentus
0.045239703,0.03968254,0,0.194174757,0.3375,0.40625,0.549450549,0.181818182,0,0.6,0,0,0.068627451,0.081355932,0.055147059,0,0.136732329,0,0,0.239581236,0.885609266,0.285714286,0.769230769,0.548494983,0.604651163,0.86212397,Seneca Agamemnon
0.042538825,0.071428571,0.044444444,0.106796117,0.1,0.0625,0.67032967,0.127272727,0.125,1,0,0.161290323,0.049019608,0.044067797,0.091911765,0.101626016,0.200463499,0,0.2,0.430793235,1,0.642857143,0.487179487,0.943143813,0.674418605,0.929901347,Seneca Hercules Furens
0.152599595,0.147266314,0.044444444,0.048543689,0.125,0.125,0.802197802,0.090909091,0,0.6,0,0.451612903,0.049019608,0.077966102,0.253676471,0.390243902,0.257242178,0.044444444,0.28,0.505536541,0.597017828,1,0.717948718,0.434782609,1,0.828203308,Seneca Hercules Oetaeus
0.059419311,0.076719577,0,0,0.375,0,0.692307692,0.054545455,0.1875,0,0,0.306451613,0.068627451,0.091525424,0.290441176,0.308943089,0.074159907,0,0.12,0.694986914,0.547157925,0.7,0.666666667,0.652173913,0.302325581,0.860138539,Seneca Medea
0.093855503,0.022045855,0,0.32038835,0.025,0.0625,0.516483516,0.581818182,0,0.8,0,0,0.039215686,0.027118644,0,0.06097561,0,0,0.72,0.940155023,0.823351219,0.171428571,1,0.618729097,0.255813953,0.968090381,Seneca Octavia
