,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
anonymous.laudes_domini.txt,913,42,21.738095238095237,0.35714285714285715,8.772727272727273,0,0,1,86,1,6,0,7,9,6,1,0,0,29,19,0,0,0,0,4,3,0,7
catullus.carmina.64.txt,2445,109,22.431192660550458,0.3577981651376147,8.140350877192983,3,0,0,130,4,32,1,8,2,15,11,0,2,58,78,0,0,0,0,12,2,1,16
catullus.carmina.65_116.txt,4132,202,20.455445544554454,0.46534653465346537,6.924812030075188,3,0,5,318,2,125,6,6,15,32,23,8,8,210,143,0,2,3,0,22,48,1,27
catullus.carmina1_63.txt,6361,395,15.959493670886076,0.28354430379746837,5.72,10,0,8,567,13,141,11,15,24,82,17,16,73,285,195,1,3,2,0,24,61,10,59
claudian.carmina_minora.txt,10828,642,16.85202492211838,0.21806853582554517,6.248677248677248,13,0,6,933,15,139,12,45,27,88,32,1,16,212,341,0,0,5,0,39,46,9,26
claudian.de_bello_gildonico.txt,3168,228,13.890350877192983,0.19736842105263158,4.7272727272727275,2,0,0,303,3,45,6,8,4,48,10,0,3,67,84,0,0,0,0,14,26,2,13
claudian.de_bello_gothico.txt,4049,176,22.9375,0.25,7.015873015873016,3,0,1,391,4,47,11,22,10,24,17,0,7,57,117,0,0,1,0,14,29,1,15
claudian.de_consulatu_stilichonis.part.1.txt,2296,117,19.623931623931625,0.28205128205128205,5.211538461538462,4,0,0,198,3,32,1,6,4,19,3,1,0,38,59,0,0,1,0,7,12,2,9
claudian.de_consulatu_stilichonis.part.2.txt,2904,136,21.352941176470587,0.3897058823529412,6.554216867469879,3,0,0,248,4,40,4,17,13,19,10,1,1,58,68,0,0,2,0,7,8,2,19
claudian.de_consulatu_stilichonis.part.3.txt,2386,119,20.050420168067227,0.35294117647058826,6.737704918032787,5,0,0,209,2,45,1,10,2,14,9,1,4,35,76,0,0,1,0,10,19,0,4
claudian.de_raptu_proserpinae.part.1.txt,1776,80,22.175,0.2875,9.34375,0,0,0,155,1,12,1,13,1,13,2,0,1,23,39,0,0,0,0,5,5,5,0
claudian.de_raptu_proserpinae.part.2.txt,2493,125,19.944,0.104,5.363636363636363,5,0,0,221,1,27,3,3,1,12,2,0,6,43,60,0,0,2,0,8,8,2,1
claudian.de_raptu_proserpinae.part.3.txt,2729,194,14.061855670103093,0.14432989690721648,5.864864864864865,2,0,0,266,1,44,4,10,9,56,8,0,4,58,50,0,0,2,0,8,17,1,8
claudian.epithalamium_de_nuptiis_honorii_augusti.txt,2204,142,15.43661971830986,0.21830985915492956,4.7317073170731705,3,0,0,181,6,39,2,7,1,22,7,0,1,39,51,0,0,0,0,8,7,3,4
claudian.in_consulatum_olybrii_et_probini.txt,1699,79,21.49367088607595,0.3037974683544304,7.518518518518518,1,0,0,133,0,22,0,6,0,5,5,1,4,24,68,0,0,0,0,3,7,1,3
claudian.in_eutropium.part.1.txt,3105,192,16.125,0.19791666666666666,5.170212765957447,4,0,0,296,5,48,7,11,9,60,5,2,1,45,91,0,2,1,0,21,16,6,10
claudian.in_eutropium.part.2.txt,4098,250,16.368,0.248,5.6022727272727275,9,0,0,349,7,58,11,21,8,45,11,0,2,63,132,0,0,1,0,20,15,4,7
