,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
ammianus.rerum_gestarum.part.14.txt,8221,269,30.50557621,0.605947955,5.661016949,0.003284272,0.00012164,0.001338037,0.087458947,0.003527551,0.027977132,0.001094757,0.009366257,0.004987228,0.000243279,0.001459676,0.00012164,0,0.007298382,0.064104124,0,0.005717066,0.00012164,0,0.004622309,0.003770831,0.002311154,0.013137088
ammianus.rerum_gestarum.part.15.txt,6872,247,27.74089069,0.481781377,5.647398844,0.003637951,0.000436554,0.000291036,0.083818393,0.002182771,0.026629802,0.001746217,0.011059371,0.003346915,0,0.002764843,0,0,0.008440047,0.063154831,0,0.003201397,0,0,0.005384168,0.002764843,0.003055879,0.015279395
ammianus.rerum_gestarum.part.16.txt,7676,243,31.44855967,0.547325103,5.472222222,0.003256905,0.000260552,0.000260552,0.087675873,0.003256905,0.023710266,0.001302762,0.013288171,0.003517457,0.000521105,0.002866076,0.000260552,0.000130276,0.010291819,0.061229807,0,0.005211047,0.000130276,0,0.007034914,0.003517457,0.003126628,0.012376238
ammianus.rerum_gestarum.part.17.txt,7396,266,27.7556391,0.503759398,5.323076923,0.002704164,0.000270416,0.000540833,0.086668469,0.001622499,0.020822066,0.001622499,0.010951866,0.004867496,0.000270416,0.002568956,0,0,0.008788534,0.054083288,0,0.002433748,0,0,0.005273121,0.003650622,0.002839373,0.012574365
ammianus.rerum_gestarum.part.18.txt,5042,152,33.13157895,0.578947368,5.231343284,0.002181674,0,0.000396668,0.08389528,0.003768346,0.022015073,0.003570012,0.0099167,0.006148354,0.000793336,0.002776676,0,0,0.0099167,0.06307021,0,0.003173344,0.000396668,0,0.003173344,0.003371678,0.006545022,0.01090837
ammianus.rerum_gestarum.part.19.txt,5710,174,32.7816092,0.534482759,5.693877551,0.005078809,0.000350263,0.000175131,0.081260946,0.002276708,0.015061296,0.002276708,0.010683012,0.00385289,0,0.002101576,0,0,0.006654991,0.063047285,0.000175131,0.00385289,0,0.000175131,0.00262697,0.002977233,0.003152364,0.012434326
ammianus.rerum_gestarum.part.20.txt,6488,222,29.17117117,0.572072072,5.087431694,0.002620222,0.000308261,0.000770654,0.091245376,0.005086313,0.021115906,0.001849568,0.008323058,0.006011097,0,0.002774353,0,0,0.008014797,0.055487053,0,0.002620222,0,0,0.004161529,0.003236745,0.003853268,0.010789149
ammianus.rerum_gestarum.part.21.txt,7146,250,28.5,0.528,5.331632653,0.004058214,0.000559754,0.000279877,0.095577946,0.002938707,0.02672824,0.0018192,0.013713966,0.004617968,0.000279877,0.002239015,0,0,0.009235936,0.060733277,0,0.003498461,0.000559754,0,0.006577106,0.003918276,0.003638399,0.014413658
ammianus.rerum_gestarum.part.22.txt,8920,303,29.35313531,0.633663366,6.034602076,0.004035874,0.000224215,0.000336323,0.088340807,0.002466368,0.026233184,0.001233184,0.008744395,0.004596413,0.000336323,0.002914798,0,0.000336323,0.006502242,0.067040359,0,0.004147982,0.00044843,0,0.004484305,0.002690583,0.003475336,0.010874439
ammianus.rerum_gestarum.part.23.txt,6843,269,25.39405204,0.557620818,6.077294686,0.004091773,0.000584539,0.000730674,0.100102294,0.002045886,0.027911735,0.000730674,0.007891276,0.003799503,0,0.004237907,0,0,0.005699255,0.059622972,0,0.002630425,0,0,0.002922695,0.003214964,0.006429928,0.011398509
ammianus.rerum_gestarum.part.24.txt,5786,208,27.77884615,0.533653846,5.575,0.004493605,0.000172831,0.000518493,0.078638092,0.00362945,0.01607328,0.001555479,0.008468718,0.003110957,0,0.003802281,0.000172831,0,0.009160041,0.053750432,0,0.002765296,0.000172831,0,0.005703422,0.002246803,0.005184929,0.010024196
ammianus.rerum_gestarum.part.25.txt,6813,237,28.71729958,0.561181435,5.089005236,0.003229121,0.000293556,0.000587113,0.085865258,0.003229121,0.022897402,0.002642008,0.010568032,0.003816234,0.000293556,0.003082343,0.000293556,0.000146778,0.007632467,0.062821077,0,0.004696903,0,0,0.00410979,0.004403347,0.003963012,0.013356818
ammianus.rerum_gestarum.part.26.txt,6323,194,32.54123711,0.551546392,4.946745562,0.00284675,0.000158153,0.001107069,0.081132374,0.001897833,0.022299541,0.001265222,0.011861458,0.005535347,0,0.002688597,0,0,0.00743318,0.066266013,0,0.005377194,0.000158153,0.000158153,0.006009805,0.003479361,0.005377194,0.013284833
ammianus.rerum_gestarum.part.27.txt,6282,216,29.03240741,0.62037037,5.303664921,0.003342884,0.00063674,0.000159185,0.087233365,0.003024514,0.024992041,0.001432665,0.012098058,0.004138809,0.000477555,0.00286533,0,0,0.007959249,0.0614454,0,0.00286533,0,0,0.005253104,0.003979624,0.004457179,0.011938873
ammianus.rerum_gestarum.part.28.txt,7162,245,29.1755102,0.563265306,5.494736842,0.003909522,0.000418877,0.000698129,0.086288746,0.002932142,0.028902541,0.001815135,0.011030438,0.005305781,0.000279252,0.003351019,0,0,0.007260542,0.066461882,0,0.006422787,0.000279252,0,0.006422787,0.0043284,0.003630271,0.018011729
ammianus.rerum_gestarum.part.29.txt,7697,236,32.54661017,0.690677966,5.190082645,0.003118098,0.000129921,0.000779524,0.077302845,0.002988177,0.022995972,0.00181889,0.010913343,0.004677147,0.000389762,0.00519683,0.000129921,0.000129921,0.006755879,0.064960374,0,0.004417305,0.000129921,0,0.005066909,0.003637781,0.00350786,0.012472392
ammianus.rerum_gestarum.part.30.txt,6066,178,34.02808989,0.662921348,5.236842105,0.002967359,0.000329707,0.001153973,0.084240026,0.003956479,0.030333004,0.00098912,0.013353116,0.003626772,0,0.003956479,0,0,0.007253544,0.062479393,0,0.003956479,0,0,0.005440158,0.005440158,0.003132212,0.015496208
ammianus.rerum_gestarum.part.31.txt,9603,334,28.73652695,0.502994012,5.481781377,0.00354056,0.000104134,0.000833073,0.091429762,0.001353744,0.019577215,0.00177028,0.012079558,0.005206706,0,0.00354056,0,0,0.006248047,0.060918463,0,0.002915755,0,0,0.005414974,0.002707487,0.002290951,0.010934083
apuleius.apologia.txt,21963,946,23.10887949,0.489429175,6.113333333,0.002640805,0.000136593,0.000182124,0.093839639,0.002231025,0.038382735,0.000637436,0.007876884,0.005418203,0.010290033,0.004780768,0.004279925,0.000500842,0.033465374,0.052178664,0.000546373,0.002003369,0.001047216,0,0.005327141,0.012247871,0.005327141,0.010790876
apuleius.florida.txt,7937,279,28.25806452,0.523297491,6.168776371,0.003275797,0,0.000251984,0.108605266,0.002141867,0.033765907,0.000881945,0.008189492,0.003275797,0.003149805,0.003527781,0.001763891,0.000251984,0.025450422,0.04951493,0.000503969,0.002015875,0.001889883,0,0.005921633,0.007937508,0.007181555,0.008189492
apuleius.metamorphoses.part.1.txt,4132,172,23.26162791,0.36627907,6.021978022,0.002420136,0,0.000968054,0.101403679,0.001452081,0.038722168,0.002662149,0.001936108,0.003146176,0.009438529,0.005082285,0.006292352,0.000242014,0.036544046,0.043562439,0.000242014,0.001452081,0.000484027,0,0.002662149,0.002904163,0.002904163,0.007986447
apuleius.metamorphoses.part.10.txt,5796,163,35.41104294,0.539877301,6.457142857,0.002760524,0.000172533,0.001552795,0.09799862,0.001380262,0.027950311,0.000690131,0.004830918,0.003450656,0.001207729,0.006038647,0.003968254,0,0.020876467,0.035541753,0.000345066,0.002933057,0.000172533,0,0.006901311,0.003278123,0.00931677,0.005348516
apuleius.metamorphoses.part.11.txt,4946,148,33.31756757,0.513513514,7.175,0.002426203,0,0.000404367,0.092397897,0.001213101,0.01860089,0.000808734,0.005863324,0.002224019,0.001415285,0.007076425,0.003841488,0,0.024059846,0.033966842,0,0.001819652,0.000404367,0,0.002021836,0.002426203,0.004448039,0.002628387
apuleius.metamorphoses.part.2.txt,4931,180,26.73333333,0.366666667,6.766666667,0.002839181,0.000202799,0.000608396,0.102413304,0.002433583,0.037314946,0.002433583,0.002839181,0.002027986,0.004258771,0.00588116,0.004664368,0.000405597,0.026972217,0.04562969,0.000202799,0.003650375,0.001013993,0,0.001216792,0.002027986,0.003041979,0.006083959
apuleius.metamorphoses.part.3.txt,4158,121,34.01652893,0.570247934,6.586538462,0.001443001,0,0.001202501,0.097162097,0.002405002,0.028138528,0.001443001,0.003367003,0.002405002,0.001683502,0.006734007,0.005772006,0.0002405,0.034391534,0.041366041,0.000481,0.004329004,0.0002405,0,0.002645503,0.002164502,0.005291005,0.004810005
apuleius.metamorphoses.part.4.txt,5165,143,35.8951049,0.440559441,7.528735632,0.001548887,0,0.001161665,0.099709584,0.001161665,0.023233301,0.001161665,0.004840271,0.002129719,0.003678606,0.005614714,0.003291384,0.000193611,0.024782188,0.037560503,0,0.003678606,0.000193611,0,0.006582769,0.001742498,0.005227493,0.004259439
apuleius.metamorphoses.part.5.txt,4652,168,27.38690476,0.380952381,6.585365854,0.002579536,0,0.001934652,0.10855546,0.001934652,0.035898538,0.001504729,0.003009458,0.000859845,0.004514187,0.006878762,0.005374033,0.000214961,0.033319003,0.028804815,0.000214961,0.001504729,0,0,0.007093723,0.005803955,0.003869304,0.006018917
apuleius.metamorphoses.part.6.txt,4581,166,27.21686747,0.391566265,6.530864198,0.002401222,0.000218293,0.001746344,0.117005021,0.001746344,0.026413447,0.001964637,0.00371098,0.001746344,0.007203667,0.00589391,0.007203667,0.000218293,0.027941497,0.035581751,0,0.001528051,0.000436586,0,0.005020738,0.003274394,0.003274394,0.003056101
apuleius.metamorphoses.part.7.txt,4140,137,29.97080292,0.394160584,6.666666667,0.002415459,0,0.002415459,0.116425121,0.001932367,0.028985507,0.000966184,0.00531401,0.003140097,0.003864734,0.007246377,0.004347826,0,0.033091787,0.033091787,0,0.003864734,0.000966184,0,0.004347826,0.003864734,0.007729469,0.005072464
apuleius.metamorphoses.part.8.txt,4874,172,28.14534884,0.377906977,6.967391304,0.003898236,0,0.000615511,0.100943783,0.001025851,0.02790316,0.001231022,0.003282725,0.001641362,0.002872384,0.004513746,0.002872384,0,0.023389413,0.038572015,0.00020517,0.004924087,0.000820681,0,0.00677062,0.001846533,0.005744768,0.003487895
apuleius.metamorphoses.part.9 2.txt,6584,212,30.83018868,0.410377358,6.8,0.001974484,0,0.00136695,0.104191981,0.0009113,0.034477521,0.001518834,0.002885784,0.0018226,0.002430134,0.005923451,0.00318955,0.000151883,0.023238153,0.040704739,0,0.004708384,0.00045565,0,0.007290401,0.002582017,0.006075334,0.006834751
apuleius.metamorphoses.part.9.txt,6584,212,30.83018868,0.410377358,6.8,0.001974484,0,0.00136695,0.104191981,0.0009113,0.034477521,0.001518834,0.002885784,0.0018226,0.002430134,0.005923451,0.00318955,0.000151883,0.023238153,0.040704739,0,0.004708384,0.00045565,0,0.007290401,0.002582017,0.006075334,0.006834751
augustine.epistulae_11_20.part.2.txt,4815,195,24.68205128,0.625641026,5.363636364,0.002076843,0,0.001869159,0.114641745,0.004153686,0.038213915,0.000415369,0.012253375,0.003738318,0.004569055,0.00768432,0.00290758,0.000207684,0.044029076,0.057736241,0,0.004361371,0,0,0.002699896,0.017445483,0.006022845,0.013707165
augustine.epistulae_1_10.part.1.txt,4791,270,17.72222222,0.474074074,5.107476636,0.004591943,0.000417449,0.00313087,0.109371739,0.006261741,0.044875809,0.000626174,0.013567105,0.00313087,0.013149656,0.005635567,0.004383219,0.000626174,0.043206011,0.051972448,0.000626174,0.00354832,0,0,0.005426842,0.012106032,0.007722814,0.014193279
