Author,Work,Genre,File Name
Augustine,Epistulae (1-10),epistolography,augustine.epistulae_1_10.part.1.txt
Augustine,Epistulae (11-20),epistolography,augustine.epistulae_11_20.part.2.txt
Augustine,Epistulae (21-30),epistolography,augustine.epistulae_21_30.part.3.txt
Augustine,Epistulae (31-40),epistolography,augustine.epistulae_31_40.part.4.txt
Augustine,Epistulae (41-50),epistolography,augustine.epistulae_41_50.part.5.txt
Augustine,Epistulae (51-62),epistolography,augustine.epistulae_51_62.part.6.txt
Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.1.ad_lentulum.txt
Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.2.ad_curionem_et_ceteros.txt
Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.3.ad_claudium_pulchrum.txt
Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.4.ad_sulpicium_et_ceteros.txt
Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.5.ad_metellum_et_ceteros.txt
Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.6.ad_torquatum_et_ceteros.txt
Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.7.ad_marium_et_ceteros.txt
Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.8.caeli_epistulae_ad_ciceronem.txt
Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.9.ad_varronem_et_ceteros.txt
Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.10.ad_plancum_et_ceteros.txt
Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.11.at_brutum_et_ceteros.txt
Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.12.ad_cassium_et_ceteros.txt
Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.13.ad_memmium_et_ceteros.txt
Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.14.ad_terentiam_uxorem.txt
Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.15.ad_senatum_et_ceteros.txt
Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.16.ad_tironem.txt
Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.1.txt
Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.2.txt
Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.3.txt
Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.4.txt
Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.5.txt
Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.6.txt
Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.7.txt
Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.8.txt
Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.9.txt
Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.10.txt
Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.11.txt
Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.12.txt
Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.13.txt
Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.14.txt
Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.15.txt
Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.16.txt
Cicero,Epistulae ad Brutum,epistolography,cicero.letters_to_brutus.txt
Cicero,Epistulae ad Quintum Fratrem,epistolography,cicero.letters_to_quintus.txt
Jerome,"Epistulae selections (letters 1, 7, 14, 22, 38, 40, 43, 44, 45, 52, 54, 60, 77, 107, 117, 125, 127, 128 combined)",epistolography,jerome.epistulae.txt
Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.1.txt
Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.2.txt
Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.3.txt
Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.4.txt
Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.5.txt
Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.6.txt
Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.7.txt
Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.8.txt
Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.9.txt
Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.10.txt
Seneca the Younger,Epistulae ad Lucilium (1-10),epistolography,seneca.ad_lucilium_epistulae_morales.part.1.1-10.txt
Seneca the Younger,Epistulae ad Lucilium (11-20),epistolography,seneca.ad_lucilium_epistulae_morales.part.2.11-20.txt
Seneca the Younger,Epistulae ad Lucilium (21-30),epistolography,seneca.ad_lucilium_epistulae_morales.part.3.21-30.txt
Seneca the Younger,Epistulae ad Lucilium (31-40),epistolography,seneca.ad_lucilium_epistulae_morales.part.4.31-40.txt
Seneca the Younger,Epistulae ad Lucilium (41-50),epistolography,seneca.ad_lucilium_epistulae_morales.part.5.41-50.txt
