Author,Work,Genre,File Name
Plautus,Amphitruo,drama,plautus.amphitruo.txt
Plautus,Asinaria,drama,plautus.asinaria.txt
Plautus,Aulularia,drama,plautus.aulularia.txt
Plautus,Bacchides,drama,plautus.bacchides.txt
Plautus,Captivi,drama,plautus.captivi.txt
Plautus,Casina,drama,plautus.casina.txt
Plautus,Cistellaria,drama,plautus.cistellaria.txt
Plautus,Curculio,drama,plautus.curculio.txt
Plautus,Epidicus,drama,plautus.epidicus.txt
Plautus,Menaechmi,drama,plautus.menaechmi.txt
Plautus,Mercator,drama,plautus.mercator.txt
Plautus,Miles Gloriosus,drama,plautus.miles_gloriosus.txt
Plautus,Mostellaria,drama,plautus.mostellaria.txt
Plautus,Persa,drama,plautus.persa.txt
Plautus,Poenulus,drama,plautus.poenulus.txt
Plautus,Pseudolus,drama,plautus.pseudolus.txt
Plautus,Rudens,drama,plautus.rudens.txt
Plautus,Stichus,drama,plautus.stichus.txt
Plautus,Trinummus,drama,plautus.trinummus.txt
Plautus,Truculentus,drama,plautus.truculentus.txt
Seneca the Younger,Agamemnon,drama,seneca.agamemnon.txt
Seneca the Younger,Hercules Furens,drama,seneca.hercules_furens.txt
Seneca the Younger,Hercules Oetaeus,drama,seneca.hercules_oetaeus.txt
Seneca the Younger,Medea,drama,seneca.medea.txt
Seneca the Younger,Octavia,drama,seneca.octavia.txt
Seneca the Younger,Oedipus,drama,seneca.oedipus.txt
Seneca the Younger,Phaedra,drama,seneca.phaedra.txt
Seneca the Younger,Phoenissae,drama,seneca.phoenissae.txt
Seneca the Younger,Thyestes,drama,seneca.thyestes.txt
Seneca the Younger,Troades,drama,seneca.troades.txt
Terence,Adelphi,drama,terence.adelphi.txt
Terence,Andria,drama,terence.andria.txt
Terence,Eunuchus,drama,terence.eunuchus.txt
Terence,Heautontimorumenos,drama,terence.heautontimorumenos.txt
Terence,Hecyra,drama,terence.hecyra.txt
Terence,Phormio,drama,terence.phormio.txt
Catullus,Poems 65-116 combined,elegy,catullus.carmina.65_116.txt
Ovid,Amores 1,elegy,ovid.amores.part.1.txt
Ovid,Amores 2,elegy,ovid.amores.part.2.txt
Ovid,Amores 3,elegy,ovid.amores.part.3.txt
Ovid,Ars Amatoria 1,elegy,ovid.ars_amatoria.part.1.txt
Ovid,Ars Amatoria 2,elegy,ovid.ars_amatoria.part.2.txt
Ovid,Ars Amatoria 3,elegy,ovid.ars_amatoria.part.3.txt
Ovid,Epistulae ex Ponto 1,elegy,ovid.ex_ponto.part.1.txt
Ovid,Epistulae ex Ponto 2,elegy,ovid.ex_ponto.part.2.txt
Ovid,Epistulae ex Ponto 3,elegy,ovid.ex_ponto.part.3.txt
Ovid,Epistulae ex Ponto 4,elegy,ovid.ex_ponto.part.4.txt
Ovid,Fasti 1,elegy,ovid.fasti.part.1.txt
Ovid,Fasti 2,elegy,ovid.fasti.part.2.txt
Ovid,Fasti 3,elegy,ovid.fasti.part.3.txt
Ovid,Fasti 4,elegy,ovid.fasti.part.4.txt
Ovid,Fasti 5,elegy,ovid.fasti.part.5.txt
Ovid,Fasti 6,elegy,ovid.fasti.part.6.txt
Ovid,Heroides 1,elegy,ovid.heroides.part.1.1-15.txt
Ovid,Heroides 2,elegy,ovid.heroides.part.2.16-21.txt
Ovid,Ibis,elegy,ovid.ibis.txt
Ovid,Medicamina Faciei Femineae,elegy,ovid.medicamina_faciei_femineae.txt
Ovid,Remedia Amoris,elegy,ovid.remedia_amoris.txt
Ovid,Tristia 1,elegy,ovid.tristia.part.1.txt
Ovid,Tristia 2,elegy,ovid.tristia.part.2.txt
Ovid,Tristia 3,elegy,ovid.tristia.part.3.txt
Ovid,Tristia 4,elegy,ovid.tristia.part.4.txt
Ovid,Tristia 5,elegy,ovid.tristia.part.5.txt
Propertius,Elegies (books 1-4 combined),elegy,propertius.elegies.txt
Rutilius,De Reditu,elegy,rutilius.de_reditu.txt
Tibullus,Elegies (books 1-4 combined),elegy,tibullus.elegies.txt
Catullus,Poem 64,epic,catullus.carmina.64.txt
Claudian,De Bello Gildonico,epic,claudian.de_bello_gildonico.txt
Claudian,De Bello Gothico,epic,claudian.de_bello_gothico.txt
Claudian,De Consulatu Stilichonis 1,epic,claudian.de_consulatu_stilichonis.part.1.txt
Claudian,De Consulatu Stilichonis 2,epic,claudian.de_consulatu_stilichonis.part.2.txt
Claudian,De Consulatu Stilichonis 3,epic,claudian.de_consulatu_stilichonis.part.3.txt
Claudian,De Raptu Proserpinae 1,epic,claudian.de_raptu_proserpinae.part.1.txt
Claudian,De Raptu Proserpinae 2,epic,claudian.de_raptu_proserpinae.part.2.txt
Claudian,De Raptu Proserpinae 3,epic,claudian.de_raptu_proserpinae.part.3.txt
Claudian,In Eutropium 1,epic,claudian.in_eutropium.part.1.txt
Claudian,In Eutropium 2,epic,claudian.in_eutropium.part.2.txt
Claudian,In Rufinum 1,epic,claudian.in_rufinum.part.1.txt
Claudian,In Rufinum 2,epic,claudian.in_rufinum.part.2.txt
Dracontius,Romulea 1,epic,dracontius.romulea.part.1.txt
Dracontius,Romulea 2,epic,dracontius.romulea.part.2.txt
Dracontius,Romulea 3,epic,dracontius.romulea.part.3.txt
Dracontius,Romulea 4,epic,dracontius.romulea.part.4.txt
Dracontius,Romulea 5,epic,dracontius.romulea.part.5.txt
Dracontius,Romulea 6,epic,dracontius.romulea.part.6.txt
Dracontius,Romulea 7,epic,dracontius.romulea.part.7.txt
Dracontius,Romulea 8,epic,dracontius.romulea.part.8.txt
Dracontius,Romulea 9,epic,dracontius.romulea.part.9.txt
Dracontius,Romulea 10,epic,dracontius.romulea.part.10.txt
Ennius,Annales,epic,ennius.annales.txt
Italicus,Ilias Latina,epic,italicus.ilias_latina.txt
Juvencus,Historia Evangelica 1,epic,juvencus.historia_evangelica.part.1.txt
Juvencus,Historia Evangelica 2,epic,juvencus.historia_evangelica.part.2.txt
Juvencus,Historia Evangelica 3,epic,juvencus.historia_evangelica.part.3.txt
Juvencus,Historia Evangelica 4,epic,juvencus.historia_evangelica.part.4.txt
Lucan,Bellum Civile 1,epic,lucan.bellum_civile.part.1.txt
Lucan,Bellum Civile 2,epic,lucan.bellum_civile.part.2.txt
Lucan,Bellum Civile 3,epic,lucan.bellum_civile.part.3.txt
Lucan,Bellum Civile 4,epic,lucan.bellum_civile.part.4.txt
Lucan,Bellum Civile 5,epic,lucan.bellum_civile.part.5.txt
Lucan,Bellum Civile 6,epic,lucan.bellum_civile.part.6.txt
Lucan,Bellum Civile 7,epic,lucan.bellum_civile.part.7.txt
Lucan,Bellum Civile 8,epic,lucan.bellum_civile.part.8.txt
Lucan,Bellum Civile 9,epic,lucan.bellum_civile.part.9.txt
Lucan,Bellum Civile 10,epic,lucan.bellum_civile.part.10.txt
Lucretius,De Rerum Natura 1,epic,lucretius.de_rerum_natura.part.1.txt
Lucretius,De Rerum Natura 2,epic,lucretius.de_rerum_natura.part.2.txt
Lucretius,De Rerum Natura 3,epic,lucretius.de_rerum_natura.part.3.txt
Lucretius,De Rerum Natura 4,epic,lucretius.de_rerum_natura.part.4.txt
Lucretius,De Rerum Natura 5,epic,lucretius.de_rerum_natura.part.5.txt
Lucretius,De Rerum Natura 6,epic,lucretius.de_rerum_natura.part.6.txt
Manilius,Astronomicon 1,epic,manilius.astronomicon.part.1.txt
Manilius,Astronomicon 2,epic,manilius.astronomicon.part.2.txt
Manilius,Astronomicon 3,epic,manilius.astronomicon.part.3.txt
Manilius,Astronomicon 4,epic,manilius.astronomicon.part.4.txt
Manilius,Astronomicon 5,epic,manilius.astronomicon.part.5.txt
Ovid,Metamorphoses 1,epic,ovid.metamorphoses.part.1.txt
Ovid,Metamorphoses 2,epic,ovid.metamorphoses.part.2.txt
Ovid,Metamorphoses 3,epic,ovid.metamorphoses.part.3.txt
Ovid,Metamorphoses 4,epic,ovid.metamorphoses.part.4.txt
