,Author,Work,Genre,File Name,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
0,Augustine,Epistulae (1-10),epistolography,augustine.epistulae_1_10.part.1.txt,4791,270,17.72222222222222,0.4740740740740741,5.107476635514018,22,2,15,524,30,215,3,65,15,63,27,21,3,207,249,3,17,0,0,26,58,37,68
1,Augustine,Epistulae (11-20),epistolography,augustine.epistulae_11_20.part.2.txt,4815,195,24.682051282051283,0.6256410256410256,5.363636363636363,10,0,9,552,20,184,2,59,18,22,37,14,1,212,278,0,21,0,0,13,84,29,66
2,Augustine,Epistulae (21-30),epistolography,augustine.epistulae_21_30.part.3.txt,13013,476,27.34243697478992,0.5819327731092437,6.191489361702128,27,3,17,1449,40,432,8,135,45,61,81,28,7,616,767,1,10,2,0,39,173,66,165
3,Augustine,Epistulae (31-40),epistolography,augustine.epistulae_31_40.part.4.txt,14078,615,22.86829268292683,0.5577235772357724,5.590509666080844,46,1,18,1498,44,549,8,152,68,71,110,61,5,435,829,0,15,0,1,56,185,65,190
4,Augustine,Epistulae (41-50),epistolography,augustine.epistulae_41_50.part.5.txt,12367,456,27.114035087719294,0.6293859649122807,5.595978062157221,46,5,12,1324,45,553,7,104,63,60,123,29,5,326,874,1,16,0,0,60,190,49,134
5,Augustine,Epistulae (51-62),epistolography,augustine.epistulae_51_62.part.6.txt,14067,445,31.604494382022477,0.6359550561797753,5.652951699463327,54,1,12,1587,55,580,8,150,52,38,117,50,1,317,1124,0,25,2,1,51,181,56,144
6,Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.1.ad_lentulum.txt,7370,206,35.762135922330096,0.7766990291262136,5.884146341463414,11,1,4,718,29,290,0,72,53,5,35,5,0,489,508,0,17,3,1,35,67,52,113
7,Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.2.ad_curionem_et_ceteros.txt,5548,255,21.75686274509804,0.5607843137254902,5.341085271317829,8,1,3,519,21,204,2,31,32,28,31,10,1,439,374,0,6,6,0,11,67,39,88
8,Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.3.ad_claudium_pulchrum.txt,6948,272,25.544117647058822,0.6323529411764706,5.882716049382716,8,4,5,596,45,248,4,59,43,39,38,15,0,591,481,1,11,4,3,15,97,58,105
9,Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.4.ad_sulpicium_et_ceteros.txt,6155,247,24.91902834008097,0.6477732793522267,5.3099041533546325,11,1,1,629,23,275,0,51,44,23,51,6,0,399,344,1,9,1,1,18,78,45,75
10,Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.5.ad_metellum_et_ceteros.txt,8364,319,26.21630094043887,0.6520376175548589,5.885941644562334,17,0,6,906,36,304,5,83,41,29,48,12,0,645,493,0,13,7,1,13,140,67,117
11,Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.6.ad_torquatum_et_ceteros.txt,7496,320,23.425,0.628125,6.014970059880239,11,0,9,797,35,316,3,60,43,15,47,8,0,484,401,0,5,12,1,16,108,46,94
12,Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.7.ad_marium_et_ceteros.txt,7375,415,17.771084337349397,0.5108433734939759,5.889589905362776,15,1,1,723,30,288,4,41,43,37,30,43,3,633,387,1,13,6,3,18,117,50,100
13,Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.8.caeli_epistulae_ad_ciceronem.txt,5879,304,19.335526315789476,0.5263157894736842,5.734375,16,0,1,474,17,280,6,42,34,19,10,15,0,304,359,1,5,5,2,29,87,20,73
14,Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.9.ad_varronem_et_ceteros.txt,7832,405,19.31851851851852,0.4592592592592592,5.259136212624584,14,2,4,817,37,344,7,58,51,62,41,29,3,549,416,1,6,5,0,17,125,36,116
15,Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.10.ad_plancum_et_ceteros.txt,10351,451,22.9490022172949,0.565410199556541,6.196560196560196,11,1,5,1022,28,319,7,81,49,19,48,10,3,593,644,2,8,4,1,47,136,79,127
16,Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.11.at_brutum_et_ceteros.txt,6589,348,18.933908045977013,0.5545977011494253,6.443298969072165,12,1,1,575,36,214,3,66,36,24,17,18,1,487,420,3,3,6,3,28,83,57,88
17,Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.12.ad_cassium_et_ceteros.txt,8101,406,19.948275862068964,0.5147783251231527,6.783699059561129,12,1,1,802,26,280,10,61,34,18,27,12,3,499,510,2,9,7,3,31,84,55,120
18,Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.13.ad_memmium_et_ceteros.txt,11220,441,25.4421768707483,0.562358276643991,6.540415704387991,10,1,8,1139,48,590,2,66,36,1,75,13,0,882,742,0,10,16,1,58,138,154,223
19,Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.14.ad_terentiam_uxorem.txt,2469,162,15.24074074074074,0.4259259259259259,5.65979381443299,3,0,1,263,11,75,0,16,11,12,7,8,2,218,118,0,0,0,1,6,58,30,43
20,Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.15.ad_senatum_et_ceteros.txt,7134,241,29.601659751037342,0.6348547717842323,6.938566552901024,15,1,11,689,39,248,0,55,30,10,29,6,1,482,504,0,6,2,1,20,78,67,108
21,Cicero,Epistulae Ad Familiares,epistolography,cicero.epistulae_ad_familiares.part.16.ad_tironem.txt,4326,304,14.223684210526317,0.3782894736842105,5.433333333333334,2,2,0,437,14,125,5,23,29,9,15,8,0,386,228,0,1,5,0,10,73,36,87
22,Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.1.txt,9417,534,17.623595505617978,0.4662921348314606,7.225714285714286,20,2,5,816,30,423,4,76,47,24,31,12,2,604,617,0,20,5,0,30,74,40,150
23,Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.2.txt,8750,594,14.718855218855218,0.3686868686868687,6.033333333333333,15,4,2,755,29,396,4,45,37,62,36,29,5,518,531,0,8,6,4,56,119,15,146
24,Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.3.txt,5363,292,18.366438356164384,0.5171232876712328,6.942477876106195,12,2,0,527,13,182,1,41,35,26,26,14,0,401,331,0,2,0,1,10,100,26,99
