,Author,Work,Genre,File Name,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
0,Plautus,Amphitruo,drama,plautus.amphitruo.txt,9340,987,9.46099290780142,0.1985815602836879,4.879668049792532,17,0,3,710,17,495,11,15,48,255,13,58,0,738,326,3,2,21,0,44,123,3,139
1,Plautus,Asinaria,drama,plautus.asinaria.txt,7632,901,8.467258601553828,0.1786903440621531,4.354166666666667,19,0,3,555,23,388,11,33,67,216,19,71,4,622,244,4,0,23,0,37,130,5,105
2,Plautus,Aulularia,drama,plautus.aulularia.txt,6561,744,8.813172043010752,0.1868279569892473,4.760479041916168,9,0,3,497,13,334,4,12,45,169,9,33,3,582,210,4,0,18,0,24,89,5,89
3,Plautus,Bacchides,drama,plautus.bacchides.txt,9458,1182,7.996615905245346,0.1700507614213198,4.745689655172414,13,0,6,637,23,560,16,13,60,308,19,66,12,728,316,5,1,15,0,39,110,6,152
4,Plautus,Captivi,drama,plautus.captivi.txt,8288,819,10.117216117216117,0.2307692307692307,4.714893617021277,20,0,6,680,9,505,8,18,48,170,17,58,0,691,335,2,0,15,1,37,113,7,112
5,Plautus,Casina,drama,plautus.casina.txt,7186,914,7.852297592997812,0.1356673960612691,4.698630136986301,7,0,8,518,18,383,15,12,36,223,10,42,5,598,220,1,3,29,0,33,82,5,99
6,Plautus,Cistellaria,drama,plautus.cistellaria.txt,4952,573,8.635253054101222,0.181500872600349,4.708955223880597,15,0,2,366,9,373,2,13,32,98,6,35,2,417,168,0,13,8,0,28,67,4,56
7,Plautus,Curculio,drama,plautus.curculio.txt,5712,782,7.301790281329923,0.1675191815856777,4.5,8,0,6,420,7,305,17,13,36,191,16,49,4,531,189,3,0,15,0,22,78,7,69
8,Plautus,Epidicus,drama,plautus.epidicus.txt,5979,805,7.419875776397515,0.1664596273291925,4.635220125786163,16,0,3,401,10,381,10,17,22,217,17,47,0,501,226,5,0,12,0,29,67,2,69
9,Plautus,Menaechmi,drama,plautus.menaechmi.txt,8929,1134,7.872134038800706,0.1684303350970017,4.296943231441048,14,0,8,626,14,472,16,17,51,318,17,54,7,799,298,2,5,26,0,36,98,20,114
